From,To,Hour,Fuel,Value,Technology
NO,UK,16,Power,-0.0,Export
DK,UK,16,Power,-0.0,Export
UK,UK,16,Power,-0.0,Export
DE,DE,17,Power,-0.0,Export
FR,DE,17,Power,-0.0,Export
NO,DE,17,Power,-0.0,Export
DK,DE,17,Power,-0.0,Export
UK,DE,17,Power,-0.0,Export
DE,FR,17,Power,10.459184340509205,Export
FR,FR,17,Power,-0.0,Export
NO,FR,17,Power,-0.0,Export
DK,FR,17,Power,-0.0,Export
UK,FR,17,Power,6.104850812708265,Export
DE,NO,17,Power,-0.0,Export
FR,NO,17,Power,-0.0,Export
NO,NO,17,Power,-0.0,Export
DK,NO,17,Power,-0.0,Export
UK,NO,17,Power,-0.0,Export
DE,DK,17,Power,0.5836835860250508,Export
FR,DK,17,Power,-0.0,Export
NO,DK,17,Power,-0.0,Export
DK,DK,17,Power,-0.0,Export
UK,DK,17,Power,-0.0,Export
DE,UK,17,Power,-0.0,Export
FR,UK,17,Power,-0.0,Export
NO,UK,17,Power,-0.0,Export
DK,UK,17,Power,-0.0,Export
UK,UK,17,Power,-0.0,Export
DE,DE,18,Power,-0.0,Export
FR,DE,18,Power,-0.0,Export
NO,DE,18,Power,-0.0,Export
DK,DE,18,Power,-0.0,Export
UK,DE,18,Power,-0.0,Export
DE,FR,18,Power,-0.0,Export
FR,FR,18,Power,-0.0,Export
NO,FR,18,Power,-0.0,Export
DK,FR,18,Power,-0.0,Export
UK,FR,18,Power,6.104850812708265,Export
DE,NO,18,Power,-0.0,Export
FR,NO,18,Power,-0.0,Export
NO,NO,18,Power,-0.0,Export
DK,NO,18,Power,-0.0,Export
UK,NO,18,Power,-0.0,Export
DE,DK,18,Power,-0.0,Export
FR,DK,18,Power,-0.0,Export
NO,DK,18,Power,-0.0,Export
DK,DK,18,Power,-0.0,Export
UK,DK,18,Power,-0.0,Export
DE,UK,18,Power,-0.0,Export
FR,UK,18,Power,-0.0,Export
NO,UK,18,Power,-0.0,Export
