region,hour,technology,value
DK,79,WindOffshore,0.314146814
DK,80,WindOffshore,0.600902896
DK,81,WindOffshore,0.470515738
DK,82,WindOffshore,0.511368316
DK,83,WindOffshore,0.228857659
DK,84,WindOffshore,0.266015418
DK,85,WindOffshore,0.256804109
DK,86,WindOffshore,0.18306259
DK,87,WindOffshore,0.502325382
DK,88,WindOffshore,0.407506533
DK,89,WindOffshore,0.473518162
DK,90,WindOffshore,0.297915393
DK,91,WindOffshore,0.461265083
DK,92,WindOffshore,0.466312919
DK,93,WindOffshore,0.591991963
DK,94,WindOffshore,0.408703995
DK,95,WindOffshore,0.487752408
DK,96,WindOffshore,0.307605177
DK,97,WindOffshore,0.494769621
DK,98,WindOffshore,0.648423125
DK,99,WindOffshore,0.907750826
DK,100,WindOffshore,1.03
DK,101,WindOffshore,0.96437199
DK,102,WindOffshore,0.802171056
DK,103,WindOffshore,0.603740535
DK,104,WindOffshore,0.665003228
DK,105,WindOffshore,0.802943777
DK,106,WindOffshore,0.744090718
DK,107,WindOffshore,0.487344617
DK,108,WindOffshore,0.287461497
DK,109,WindOffshore,0.554854253
DK,110,WindOffshore,0.709003224
DK,111,WindOffshore,0.905862536
DK,112,WindOffshore,0.618577263
DK,113,WindOffshore,0.584130826
DK,114,WindOffshore,0.345955458
DK,115,WindOffshore,0.517470541
DK,116,WindOffshore,0.509008302
DK,117,WindOffshore,0.753404753
DK,118,WindOffshore,0.583583635
DK,119,WindOffshore,0.564841787
DK,120,WindOffshore,0.30028781
DK,1,WindOnshore,0.429821379
DK,2,WindOnshore,0.258364554
DK,3,WindOnshore,0.317562194
DK,4,WindOnshore,0.125166835
DK,5,WindOnshore,0.114444874
DK,6,WindOnshore,0.074354956
DK,7,WindOnshore,0.163676347
DK,8,WindOnshore,0.228858759
DK,9,WindOnshore,0.322412013
DK,10,WindOnshore,0.327468379
DK,11,WindOnshore,0.460781266
DK,12,WindOnshore,0.319478101
DK,13,WindOnshore,0.194169024
DK,14,WindOnshore,0.066100158
DK,15,WindOnshore,0.031756458
DK,16,WindOnshore,0.131452582
DK,17,WindOnshore,0.112836207
DK,18,WindOnshore,0.219359189
DK,19,WindOnshore,0.113197722
DK,20,WindOnshore,0.353730757
DK,21,WindOnshore,0.189161328
DK,22,WindOnshore,0.394435977
DK,23,WindOnshore,0.137733617
DK,24,WindOnshore,0.20021947
DK,25,WindOnshore,0.357712133
DK,26,WindOnshore,0.490478531
DK,27,WindOnshore,0.57561415
DK,28,WindOnshore,0.196199937
DK,29,WindOnshore,0.140576368
DK,30,WindOnshore,0.044583466
DK,31,WindOnshore,0.064095018
DK,32,WindOnshore,0.029764457
DK,33,WindOnshore,0.101782193
DK,34,WindOnshore,0.225810555
DK,35,WindOnshore,0.349969667
DK,36,WindOnshore,0.247222272
DK,37,WindOnshore,0.251504489
DK,38,WindOnshore,0.149545893
DK,39,WindOnshore,0.399619122
DK,40,WindOnshore,0.192086901
DK,41,WindOnshore,0.189602066
DK,42,WindOnshore,0.035720992
DK,43,WindOnshore,0.057520409
DK,44,WindOnshore,0.140908788
DK,45,WindOnshore,0.20147543
DK,46,WindOnshore,0.154787203
DK,47,WindOnshore,0.077864799
DK,48,WindOnshore,0.023039778
DK,49,WindOnshore,0.047295878
DK,50,WindOnshore,0.19665527
DK,51,WindOnshore,0.159550687
DK,52,WindOnshore,0.175959233
DK,53,WindOnshore,0.018217909
DK,54,WindOnshore,0.219021259
DK,55,WindOnshore,0.180531705
DK,56,WindOnshore,0.173347614
DK,57,WindOnshore,0.053719124
DK,58,WindOnshore,0.221649662
DK,59,WindOnshore,0.52667947
DK,60,WindOnshore,0.425914559
DK,61,WindOnshore,0.294682434
DK,62,WindOnshore,0.07426211
DK,63,WindOnshore,0.067889285
DK,64,WindOnshore,0.086555725
DK,65,WindOnshore,0.123648634
DK,66,WindOnshore,0.114514322
DK,67,WindOnshore,0.047259548
DK,68,WindOnshore,0.0022032
DK,69,WindOnshore,0.010561763
DK,70,WindOnshore,0.012097666
DK,71,WindOnshore,0.018776931
DK,72,WindOnshore,0.011803072
DK,73,WindOnshore,0.076643568
DK,74,WindOnshore,0.213046128
DK,75,WindOnshore,0.207757033
